resumen_id,anio,programa_id,beneficiarios,beneficiarios_indir,numero_apoyos,apoyo_federal,apoyo_estatal,apoyo_municipal,aportacion_productor,total,fuente_archivo,cargado_en,programa_nombre,categoria
35,2023,50,7,413,7,0.00,3527302.00,0.00,5711678.78,9238980.78,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,TECNIFICACIÓN DE RIEGO,
48,2024,57,720,,720,0.00,2226339.00,0.00,0.00,2226339.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,ASISTENCIA TÉCNICA,
52,2024,63,18,160,18,0.00,825400.00,0.00,0.00,825400.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,BRIGADAS COMUNITARIAS SANIDAD FORESTAL,
42,2024,45,1729,,1760,0.00,55159336.00,0.00,87030319.25,142189655.25,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,DINAMISMO AGROALIMENTARIO,
50,2024,49,729,7442,9,0.00,41303000.00,0.00,0.00,41303000.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,"FERIAS, EVENTOS Y APOYO A COTAS",
46,2024,68,19065,,19065,0.00,46978250.00,0.00,0.00,46978250.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,MAÍZ CONSUMO HUMANO,
49,2024,69,2240,0,2240,0.00,12882280.00,0.00,0.00,12882280.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,"PACAS FORRAJERAS CONCENTRADOS, CISTERNAS Y VIAJES DE AGUA",
45,2024,52,9,140,9,0.00,339000.00,0.00,898855.13,1237855.13,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,PERFORACIÓN DE POZOS (GASTO CORRIENTE),
43,2024,54,3378,,62,0.00,13752514.00,0.00,7126823.00,20879337.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,PROGRAMA DE BORDERÍA,
41,2024,48,1575,,1575,0.00,15206766.00,15206766.00,27940426.61,58353958.61,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,PROGRAMA MUNICIPALIZADO,
53,2024,64,12,200,12,0.00,500000.00,0.00,0.00,500000.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,REFORESTACIÓN Y RESTAURACIÓN INTEGRAL,
51,2024,51,3,4930,4930,27778661.00,10300000.00,0.00,0.00,38078661.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,"SANIDAD E INOCUIDAD AGROALIMENTARIA 
(ACUÍCOLA, VEGETAL Y PECUARIO)",
47,2024,71,3773,,3773,0.00,15000000.00,0.00,0.00,15000000.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,"SEMILLA DE AVENA, GARBANZO Y MAÍZ",
44,2024,50,120,,146,0.00,19331088.00,0.00,13682539.00,33013627.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,TECNIFICACIÓN DE RIEGO,
58,2025,57,510,,510,0.00,1982780.18,0.00,0.00,1982780.18,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,ASISTENCIA TÉCNICA,
68,2025,63,18,160,18,0.00,825400.00,0.00,0.00,825400.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,BRIGADAS COMUNITARIAS SANIDAD FORESTAL,
55,2025,45,1546,,1546,0.00,44003623.00,0.00,53680467.85,97684090.85,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,DINAMISMO AGROALIMENTARIO,
59,2025,49,3000,3178,12,0.00,40000000.00,0.00,0.00,40000000.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,"FERIAS, EVENTOS Y APOYO A COTAS",
61,2025,68,19640,,19640,0.00,45000000.00,0.00,0.00,45000000.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,MAÍZ CONSUMO HUMANO,
62,2025,69,2541,0,2541,0.00,11628948.00,0.00,0.00,11628948.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,"PACAS FORRAJERAS CONCENTRADOS, CISTERNAS Y VIAJES DE AGUA",
57,2025,54,35,,35,0.00,9742664.00,0.00,4996619.80,14739283.80,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,PROGRAMA DE BORDERÍA,
60,2025,48,2974,,2974,0.00,31500000.00,31500000.00,38349307.45,101349307.45,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,PROGRAMA MUNICIPALIZADO,
69,2025,64,12,200,12,0.00,500000.00,0.00,0.00,500000.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,REFORESTACIÓN Y RESTAURACIÓN INTEGRAL,
67,2025,73,28,,28,0.00,3178000.00,0.00,0.00,3178000.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,REMOLQUES PIPA PARA DISTRIBUCIÓN DE AGUA (6),
70,2025,51,3,8997,3,28379274.00,10300000.00,0.00,0.00,38679274.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,"SANIDAD E INOCUIDAD AGROALIMENTARIA 
(ACUÍCOLA, VEGETAL Y PECUARIO)",
63,2025,71,2998,,2998,0.00,12203375.00,0.00,0.00,12203375.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,"SEMILLA DE AVENA, GARBANZO Y MAÍZ",
65,2025,72,72,,72,0.00,485179.20,0.00,0.00,485179.20,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,SUPLEMENTO ALIMENCITIO ACUÍCOLA,
64,2025,70,135,,135,0.00,765507.00,0.00,0.00,765507.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,SUPLEMENTO ALIMENCITIO APÍCOLA,
56,2025,50,65,,65,0.00,6162122.00,0.00,10060942.41,16223064.41,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,TECNIFICACIÓN DE RIEGO,
