apoyo_id,anio,programa_id,municipio_id,numero_apoyos,apoyo_federal,apoyo_estatal,apoyo_municipal,aportacion_productor,total,fuente_archivo,fuente_hoja,cargado_en,programa_nombre,categoria,municipio_nombre,region_nombre
43,2025,40,12,156,0.00,676900.00,0.00,0.00,676900.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Pacas&Suplementos2025,2026-07-30 20:05:33.097295+00,PACAS Y SUPLEMENTOS,,PEÑAMILLER,CADEREYTA
173,2023,45,15,2,0.00,68000.00,0.00,74120.00,142120.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Dinamismo2023Estatal,2026-07-30 20:05:33.097295+00,DINAMISMO AGROALIMENTARIO,,SAN JOAQUÍN,CADEREYTA
132,2023,42,15,341,0.00,3000000.00,3000000.00,3138303.00,9138303.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Municipalizado23Estatal,2026-07-30 20:05:33.097295+00,MUNICIPALIZADO,,SAN JOAQUÍN,CADEREYTA
190,2024,45,15,3,0.00,99593.00,0.00,110407.00,210000.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Dinamismo2024Estatal,2026-07-30 20:05:33.097295+00,DINAMISMO AGROALIMENTARIO,,SAN JOAQUÍN,CADEREYTA
148,2024,42,15,295,0.00,2000000.00,2000000.00,2194286.64,6194286.64,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Municipalizado24Estatal_,2026-07-30 20:05:33.097295+00,MUNICIPALIZADO,,SAN JOAQUÍN,CADEREYTA
37,2025,39,15,18,0.00,82350.00,0.00,0.00,82350.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,"Avena, Garbanzo 2025",2026-07-30 20:05:33.097295+00,AVENA Y GARBANZO,,SAN JOAQUÍN,CADEREYTA
93,2025,43,15,3,0.00,695000.00,0.00,479940.00,1174940.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Bordería2025Estatal,2026-07-30 20:05:33.097295+00,BORDERÍA,,SAN JOAQUÍN,CADEREYTA
127,2025,45,15,4,0.00,206730.00,0.00,214230.00,420960.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Dinamismo2025Estatal,2026-07-30 20:05:33.097295+00,DINAMISMO AGROALIMENTARIO,,SAN JOAQUÍN,CADEREYTA
73,2025,41,15,303,0.00,399742.00,0.00,0.00,399742.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Maíz Blanco2025Estatal,2026-07-30 20:05:33.097295+00,MAÍZ BLANCO,,SAN JOAQUÍN,CADEREYTA
77,2025,42,15,125,0.00,1000000.00,1000000.00,1112470.00,3112470.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Municipalizado2025Estatal,2026-07-30 20:05:33.097295+00,MUNICIPALIZADO,,SAN JOAQUÍN,CADEREYTA
