programa_id,nombre,categoria
346,COMEDEROS DE USO PECUARIO,
347,SISTEMA DE RIEGO 3HA,
348,PANEL SOLAR,
349,CERCO DE PROTECCION DE PARCELAS 1.5HA,
350,CARRO MEZCLADOR USO PECUARIO,
351,REMOLQUE DE USO PRODUCTIVO (HIDRAHULICO),
352,REHABILITACION DE INVERNADERO (PLASTICO),
353,SUMINISTRO Y COLOCACION Y TERMOFUSION DE GEOMEMBRANA,
354,NÚCLEOS DE ABEJAS,
355,SIST. DE RIEGO MULTICOMPUERTAS Y LÍNEAS DE CONDUCCIÓN C/HIDRANTES,
356,SISTEMA DE BOMBEO SOLAR,
357,ESCREPA,
358,PROYECTO ESTRATÉGICO (HERRAMIENTA PARA JIMAR MAGUEY),
359,SEMBRADORA NEUMATICA DE PRESICION,
360,SEMENTAL PORCINO,
361,CONGELADOR,
362,SISTEMA DE RIEGO (LINEAS DE CONDUCCION),
363,TRACTOR  DE 40 A 125 CABALLOS DE FUERZA (HP) A LA TOMA DE FUERZA,
364,SRT: PARA POZO DE RIEGO,
365,PROYECTO ESTRATEGICO ( REHABILITACION DE EQUIPO DE SISTEMA DE RIEGO),
366,VIENTRE PORCINO,
367,REHABILITACION DE SISTEMA DE RIEGO 4.5HA,
368,TRACTOR DE MENOS DE 40 CABALLOS DE FUERZA (HP) A LA TOMA DE FUERZA,
369,"PAQUETE  A PEQUEÑA ESCALA (EQUIPO PARA BOMBEO Y CONDUCCION DE AGUA,MOCHILA ASPERSORA,DESBROZADORA)",
370,PAQUETE DE TRACTOR LIGERO CON IMPLEMENTOS,
371,TRACTOR DE 40 O MENOS CABALLOS DE FUERZA,
372,MAQUINA TORTILLADORA,
373,OVINO GESTANTE SIN REGISTRO,
374,JAULAS DE USO PECUARIO,
375,APOYO PARA PROYECTO PRODUCTIVO PECUARIO,
376,AIREADOR (ACUÍCOLA),
377,CORTADORA-HILEADORA DE FRIJOL,
378,TRACTOR LIGERO CON TOMA DE FUERZA 14-18 HP,
379,REHABILITACIÓN DE OLLA PARA ALMACENAMIENTO DE AGUA (INCLUYE GEOMEMBRANA),
380,DOSIS DE SEMEN SEXADO,
381,APOYO PARA PROYECTO AGROTURÍSTICO,
382,HERRAMIENTA MENOR,
383,REMOLQUE CAMA BAJA,
384,TINACO 1100 LTS,
385,TINACO 3000 LTS,
